wind_max,wind_ave,rainfall_height,rainfall_form,sunny_hours,snow_height,bedeckungsgrades,dampfdruckes,luftdruck,temp,humidity,air_temp_max,air_temp_min,ground_temp_min,y
14.2,4.6,15,4,0.2,0,8,7.1,983.6,3.6,86,10.6,-0.8,-0.8,0
21.6,5.5,9,4,0.2,0,7.8,10.2,967.9,9.2,88,11.8,6.8,6,0
18.7,4.4,7.4,4,0,0,7.8,8.5,976.2,6.2,90,8.5,1.2,1,0
11,5.3,0,4,1.6,0,6.8,4.4,988,-1.3,79,1.4,-2.7,-2.7,0
7.8,2.7,1.2,4,0.6,0,7.8,4.1,993.2,-3.2,84,-1.7,-4.6,-4.8,1
9.7,3.7,0.1,4,0.3,2,6.3,4.4,994,-2.6,86,-0.9,-5,-6.6,0
7.8,3.1,0,4,2.5,2,7,3.2,1000,-5.4,78,-4.2,-6.3,-6.9,1
7.8,3.1,0,4,2.5,2,7,3.2,1000,-5.4,78,-4.2,-6.3,-6.9,1
8.5,3,0,0,7.5,2,3.3,2.3,997.6,-8,70,-5.3,-10.7,-12.5,0
9.2,3.5,0,0,7.2,2,0.5,2,999.4,-8.7,62,-5.2,-11.1,-11.8,1
10.1,2.1,0,0,1.7,1,3.5,2.9,1004.8,-6.1,73,-2.5,-11.6,-13.5,1
6.4,1.9,0,4,5.9,1,3.8,3.7,1014,-3.8,80,-1.4,-6,-10.5,1
8.3,2.7,5.2,4,0.3,1,7.8,4.3,1013.5,-2.6,85,-0.5,-4.9,-4.5,1
13.7,4.6,3.7,4,0,4,5.693497305,6.9,1005.7,2.1,95,5.9,-2.1,-2.2,0
11.1,4.6,0.1,4,0,0,8,8.3,1008.8,5.5,92,6.2,4.8,4.1,0
15.5,5.9,2.9,4,0,0,7.8,6.4,1005.4,4.2,77,5,3.1,2.8,0
10.3,4.1,0,0,0.8,0,7,7.1,1006.4,3.9,88,5.9,2,1,0
10.6,4.1,0,4,7.4,0,3,5.7,1001.1,2.1,81,4.3,0.4,-1,1
10.2,3.6,0,0,0,0,6,6.3,997.3,2.4,86,3.8,0.9,0,0
16.5,6.7,1.2,4,1.1,0,5,6.4,987,4.2,77,7,1.1,-0.1,0
14.6,5.6,3.5,4,1.5,0,7,7.8,983.1,7,78,8.6,5.6,4.2,0
12.2,5.3,0.1,4,0.4,0,5.8,8.1,973.4,6.7,83,7.8,5.6,4.3,0
11.7,4.1,7.8,4,0,0,6,7.9,974.9,6.3,83,8.1,4.9,3.9,0
11.5,3.9,1.8,4,0,0,8,7.9,996,5.2,89,6.4,2.4,1.2,0
9,2,0,0,4.2,0,4,5.4,1016.5,2.2,75,5,0.1,-2.6,0
10.4,3.1,3.1,4,4.6,0,3.3,5.5,1011.9,1.6,80,4.8,-1.2,-2.6,0
10.1,3.6,5.3,4,0,0,8,7.6,1008,3.8,94,5.1,2.8,2.9,1
11.7,3.6,9.6,4,0,0,8,10.3,1004.2,7.8,97,9.3,5,4.9,0
17.9,6,5.8,4,0,0,7.5,7.1,991.3,4.9,82,8.8,1.4,1.4,0
12.2,4,4,4,0,0,7.5,6.4,979.4,2.3,89,3.1,0.2,-0.2,0
14.8,3.8,2.4,4,0.8,0,7.8,5.2,981,-0.2,87,1.7,-4.7,-5.8,0
11.2,2.6,0,4,2.1,4,4.3,3.4,996.1,-4.9,79,-3.1,-7.4,-10.3,1
11.5,3.4,0.3,4,3.3,4,6.5,3.6,998.3,-3.8,79,-1.3,-6.8,-12.5,0
13.9,4.5,4.5,4,0.1,5,7.5,5.8,986.7,0.9,87,4,-3.1,-3,1
14.1,4.8,1.1,4,1.3,0,6,6.1,973.1,2.8,81,4.9,-0.2,-1.3,0
11.8,4.1,3.4,4,1.4,1,4,5.5,973,0.5,87,2.4,-1,-1.6,1
12.6,3.4,1.5,4,1,1,5.5,5.7,984.2,1.4,85,3,-0.1,-1.5,0
11.4,2.5,0,4,1.9,1,6.3,4.6,998.7,-0.1,76,1.8,-1.3,-3.2,0
7.4,2.9,1.6,4,0,0,7.8,5.9,1001.4,1.2,88,2.9,0.1,-0.4,1
6.4,2.4,0,0,0,0,7.8,7.7,1003.3,3.9,95,5.1,2.7,2.7,0
10.6,3.9,0,0,2.9,0,5.3,6.7,1001.2,3.7,83,5.8,-0.3,-2.3,0
6,1.7,0,0,9,0,0,4.4,1004.1,0.3,71,5.1,-2.5,-4.7,0
6.8,1.9,0,0,8.6,0,0,4.6,1007.4,0.7,72,5.4,-2.2,-4.8,0
4.8,1.8,0,0,1.4,0,2.3,3.9,1009.5,-3.3,81,-1.5,-6.2,-7.9,1
7.7,2.7,0,0,9,0,0,3.3,1008.3,-2.5,66,1.6,-6.1,-7.5,0
9.1,2.7,0,0,9.1,0,1.8,2.7,1009.5,-2,53,2.7,-6.3,-7.6,0
12.5,3.9,0,4,0,0,3.8,3.6,1014.3,-2.9,74,-0.6,-6,-6.6,0
11.5,3.9,0,0,7.5,0,3.8,3.2,1016.4,-2.1,60,-0.3,-3.6,-5.5,0
9.5,3.3,0,0,9.6,0,1.5,3.2,1016.7,-2.8,66,1.6,-6.5,-8.1,0
10,3.1,0,0,9.5,0,0.3,3.2,1009.4,-2.5,65,2.9,-7.2,-8.6,1
7.7,3,0,0,9.5,0,0.8,3.8,1001.2,-1.5,70,4.5,-6.8,-8.4,1
8.2,3,0,0,9.9,0,0.3,4.2,996.8,1.2,66,9.1,-4.8,-7,0
6.1,2.4,0,0,9.8,0,0.5,4.4,1002.3,3.2,59,8.8,-3.1,-6,0
9,3.4,0,0,9.8,0,0,4.4,1006.1,4.1,56,10,-1.8,-5.1,0
10.3,3.7,0,0,9.3,0,0,5.1,1008.5,5.9,55,11,1.6,-1.2,0
5.2,2.4,0,0,9.6,0,0.3,5.2,1008.4,7.2,52,12.4,2.8,-0.9,0
6.4,2.7,0,0,10.1,0,0,3.8,1002.2,6.3,42,13.5,0.8,-2,0
6.7,2.4,0,0,8.4,0,2,4.3,995.6,7.4,42,12.8,2.7,-3.6,1
6.1,2,0,0,7.1,0,5,5.9,996.4,9.9,48,13.8,7,2,0
7.6,2.3,1.9,4,4.8,0,4.8,7.7,1001.6,9.6,64,13,7.3,4.5,1
9.5,3.5,4.2,4,4.8,0,5.5,8.8,998.3,8.9,78,12.6,6.6,6.1,0
8.1,2.3,9.5,4,0.6,0,7.8,9.4,990.8,7.8,89,10.6,5.5,5.5,0
8.3,2.3,0,4,0.5,0,7.8,7.2,999.3,4.6,85,7.1,1.7,-1.8,1
10.3,3.4,0.7,4,8,0,4.5,6.7,1001.9,5.1,77,9.3,-0.9,-2.9,1
7,2.8,0,0,5.5,0,6.3,9.1,998,9.9,75,14.1,6.6,5.7,0
12.2,3.8,6.2,4,0,0,7.8,8.1,994.4,7.6,78,10.9,4.2,2.6,0
10.9,3.3,0.2,4,5.3,0,6,7.1,1001,6.2,76,9.6,2.6,0,0
14.4,6.2,0.8,4,1.1,0,7.8,7.2,998.6,7.5,70,9.8,5.3,4.4,0
11.9,4.7,0,0,3.5,0,6.8,8,1000.2,9.5,68,12.8,6.8,6,0
10.9,4,0.8,4,1.9,0,5.8,8.7,1003.1,10.1,70,12.9,8.1,5.6,1
13,3.7,22.5,4,0,0,7.8,10.5,996.5,9.7,87,11,8,7.8,0
10.8,3.6,0.2,4,0.4,0,7.3,8.3,1003,7.2,81,9.1,4.8,3.9,0
9.9,3.5,0,0,9.9,0,3.8,5.3,1015.7,5,63,8.7,1.4,0.3,0
12.1,3.4,0,0,11.2,0,0.3,4.8,1015.6,4,60,9,-0.5,-3.7,0
8.8,3,0,0,10.9,0,0,5.3,1020.2,4.4,65,9.9,-0.7,-2.6,1
6.1,2.2,0,0,11,0,1,5.3,1022,6,59,11.6,-0.4,-2.6,0
9,2.7,0,0,7.8,0,4,6.1,1015.3,4.9,71,9.6,1.7,-2.4,0
9.1,2.2,0,0,10.9,0,2.5,6.1,1013.4,5.7,69,10.9,-2,-4.4,1
8,2.2,0,0,10.9,0,2.8,6.2,1009.6,6.1,67,11.4,0.6,-2.6,0
6.2,1.9,0,0,4.3,0,7,5.7,1007.6,2.7,78,6.4,0,-3.9,0
9.8,3.1,0,0,10.4,0,3.3,5.3,1006.2,4.2,66,9.9,-1.3,-2.8,0
7.8,2.9,0,0,11.5,0,1.3,3.8,1006.4,6.3,43,13,-0.8,-3.3,0
9.8,3.4,0,0,11.7,0,0.5,2.8,1006.5,10.7,23,16.5,4.3,0.3,0
8.9,2.5,0,0,10.5,0,1.5,5.6,1005.8,13.5,35,19.3,7.1,3.7,0
4.6,1.2,0,0,0.4,0,7,8.1,1003.6,12.1,58,15.2,9.1,5.7,0
7.1,2.1,0,0,8,0,5.5,8.7,1000.3,12,63,16.8,6.8,3.7,0
4.9,1.8,0,0,10.2,0,2,8.5,998,12.8,59,18.1,8.6,3.7,0
8.2,2.6,0,4,8.6,0,3,8.3,994.8,13.1,57,19.6,5.8,1.9,0
8.5,2.1,1.1,4,0.7,0,7,11,993.8,13.7,71,17.8,11.2,8.9,0
8.5,2.5,0,0,8.3,0,4.3,9.3,997,10.9,73,15.6,5.2,3.7,0
8,2.8,0,0,10.9,0,1.8,6.6,1004.4,7.1,67,12,2.3,0.1,0
17.4,5.1,10.2,4,5.5,0,5,6.7,993.5,8.9,61,14.4,5.3,2.6,0
15.4,3.6,6.4,4,2.2,0,7.5,10.24873977,986.5,5,77.07989689,9,2.8,5.276122816,0
10,3.6,0,0,1.6,0,5.8,10.24873977,1000,4,77.07989689,7,2,5.276122816,0
8.1,2.3,0,4,6.7,0,5,6.5,1008.2,5.4,73,9.6,0.3,-2,0
13.5,5.1,0,4,3.1,0,6.8,6.8,1006.1,6.4,71,10.7,2.8,1.1,0
14.1,4.1,0,0,9.1,0,4,4.5,1005.6,3.9,57,8,0.3,-1.2,0
10.2,3.4,0,0,10.2,0,1.3,2.7,1006.5,1.7,40,5.8,-2.4,-3.9,0
10.4,2.7,0,0,9.1,0,2.8,2.9,1003.8,1.6,44,5.9,-3.6,-5.8,1
7.8,2.5,0.5,4,5.9,0,4.3,3.5,995.9,1.4,52,4.8,-3.7,-6.6,0
7,2,0.1,4,2.8,1,7,5.2,987.1,1.5,77,5.1,-1,-2.3,0
7.8,2.5,0,0,7,0,5.5,4.8,991.4,3.8,63,8.7,-1.9,-3.6,0
6.2,2.1,0,0,11.6,0,2,4.4,996.5,8.4,42,14.1,1.8,-2.7,0
10,2.6,0,0,11.9,0,1.3,5.7,1002.2,12.3,41,18.1,5.3,0.5,1
10.3,4.4,0,0,12.3,0,4.8,5.6,1000.2,14.3,36,20.4,7.6,5.8,0
10.7,3.6,0,0,12.8,0,4.3,7.4,1002.4,16.9,41,24.3,8.4,4.8,0
10.7,3.7,0,0,12.7,0,2.8,6.9,1005.9,17.5,36,22,12,8.7,0
11.4,3.8,0,0,12.5,0,0.3,5.8,1009.6,15.3,35,20.7,8.9,6.8,0
14.4,4.7,0,0,12.7,0,1.8,6.1,1008.5,11.3,46,14.9,6.3,4.8,0
12.3,4.3,0,4,0.6,0,7.3,7.1,999.4,6.1,75,9.1,4,2.4,0
8.7,2.8,0,0,9.1,0,3.5,7.9,992,10.2,67,15.6,2.5,0.5,0
